2023-07-01T14-41-53: LogOut_File: : logfile started
2023-07-01T14-41-53: Net Status: low-level initialize success.
2023-07-01T14-41-53: Note: this version (1/29/2017) has new data fields added
2023-07-01T14-41-53: time = time since start of game in ms.
2023-07-01T14-41-53: address = address of IP address
2023-07-01T14-41-53: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2023-07-01T14-41-53: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2023-07-01T14-41-53: app_ctos = client to server bytes delta excluding overheads (app data only)
2023-07-01T14-41-53: app_stoc = server to client bytes delta excluding overheads (app data only)
2023-07-01T14-41-53: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2023-07-01T14-41-53: sent = number of packets sent. Spikes can indicate lag.
2023-07-01T14-41-53: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2023-07-01T14-41-53: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2023-07-01T14-41-53: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2023-07-01T14-41-53: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2023-07-01T14-41-53: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2023-07-01T14-41-53: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2023-07-01T14-41-53: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2023-07-01T14-41-53: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2023-07-01T14-41-53: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2023-07-01T14-41-53: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2023-07-01T14-41-53: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2023-07-01T14-41-53: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2023-07-01T14-41-53: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2023-07-01T14-41-53: Latency packet samples = number of packets used in determining average latency from start of game
2023-07-01T14-41-53: Jitter packet samples = number of packets used in determining average jitter from start of game
2023-07-01T14-41-53: reconnect = flag to indicate one or more reconnects occurred
2023-07-01T14-41-53: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
10003,X.X.X.X,49352,11130,11130,49352,0,51,20,0,0,0,0,0,20,0.000000,0,20,20,20,20,49,49,1
20005,X.X.X.X,66935,24863,13733,17583,0,122,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,120,120,0
30008,X.X.X.X,76278,35609,10746,9343,0,179,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,176,176,0
40014,X.X.X.X,85114,42292,6683,8836,0,213,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,211,211,0
50016,X.X.X.X,93779,48793,6501,8665,0,246,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,244,244,0
60019,X.X.X.X,103765,55567,6774,9986,0,281,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,278,278,0
70020,X.X.X.X,112985,62730,7163,9220,0,315,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,313,313,0
80020,X.X.X.X,121805,69441,6711,8820,0,348,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,346,346,0
90024,X.X.X.X,130709,76305,6864,8904,0,383,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,380,380,0
100030,X.X.X.X,139559,82868,6563,8850,0,417,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,415,415,0
110030,X.X.X.X,148726,90091,7223,9167,0,451,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,449,449,0
120035,X.X.X.X,158750,97163,7072,10024,0,485,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,482,482,0
130039,X.X.X.X,167304,103996,6833,8554,0,519,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,517,517,0
140044,X.X.X.X,201032,111775,7779,33728,0,566,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,564,564,0
150046,X.X.X.X,220257,120967,9192,19225,0,693,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,691,691,0
160049,X.X.X.X,237616,128343,7376,17359,0,800,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,797,797,0
170053,X.X.X.X,257003,138515,10172,19387,0,954,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,951,951,0
180059,X.X.X.X,275701,149212,10697,18698,0,1115,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,1113,1113,0
190066,X.X.X.X,289524,158395,9183,13823,0,1253,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,1251,1251,0
200072,X.X.X.X,305277,167455,9060,15753,0,1387,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,1385,1385,0
210079,X.X.X.X,325317,177455,10000,20040,0,1533,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,1530,1530,0
220085,X.X.X.X,341555,187618,10163,16238,0,1685,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,1683,1683,0
230088,X.X.X.X,384442,204306,16688,42887,0,1927,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,1925,1925,0
240095,X.X.X.X,451565,220325,16019,67123,0,2139,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,2137,2137,0
250099,X.X.X.X,531954,240091,19766,80389,0,2420,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,2417,2417,0
260102,X.X.X.X,644841,261121,21030,112887,0,2693,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,2690,2690,0
270107,X.X.X.X,748512,281514,20393,103671,0,2964,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,2962,2962,0
280114,X.X.X.X,834449,301012,19498,85937,0,3232,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,3230,3230,0
290116,X.X.X.X,933650,321043,20031,99201,0,3506,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,3503,3503,0
300118,X.X.X.X,1049442,342715,21672,115792,0,3801,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,3798,3798,0
310121,X.X.X.X,1131190,361932,19217,81748,0,4065,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,4062,4062,0
320124,X.X.X.X,1213722,381252,19320,82532,0,4333,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,4330,4330,0
330128,X.X.X.X,1353036,402260,21008,139314,0,4607,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,4604,4604,0
340134,X.X.X.X,1479392,423874,21614,126356,0,4886,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,4883,4883,0
350136,X.X.X.X,1571981,443265,19391,92589,0,5158,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,5156,5156,0
360141,X.X.X.X,1662472,462762,19497,90491,0,5427,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,5423,5423,0
370144,X.X.X.X,1754264,482527,19765,91792,0,5696,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,5694,5694,0
380150,X.X.X.X,1863906,502792,20265,109642,0,5952,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,5950,5950,0
390157,X.X.X.X,1974618,523557,20765,110712,0,6232,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,6229,6229,0
400162,X.X.X.X,2084569,543353,19796,109951,0,6496,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,6493,6493,0
410165,X.X.X.X,2162639,563007,19654,78070,0,6773,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,6770,6770,0
420169,X.X.X.X,2264005,583111,20104,101366,0,7048,24,0,0,0,0,0,24,0.000000,3,24,24,24,24,7046,7046,0
430175,X.X.X.X,2335724,599412,16301,71719,0,7258,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,7256,7256,0
440176,X.X.X.X,2411153,616109,16697,75429,0,7465,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,7463,7463,0
450182,X.X.X.X,2490976,634085,17976,79823,0,7701,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,7699,7699,0
460186,X.X.X.X,2575103,651486,17401,84127,0,7926,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,7923,7923,0
470188,X.X.X.X,2670834,669401,17915,95731,0,8162,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,8160,8160,0
480194,X.X.X.X,2794329,690315,20914,123495,0,8426,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,8423,8423,0
490198,X.X.X.X,2895389,711375,21060,101060,0,8712,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,8709,8709,0
500201,X.X.X.X,2990063,731713,20338,94674,0,8992,23,0,0,0,0,0,23,0.000000,0,23,23,23,23,8990,8990,0
510204,X.X.X.X,3115349,754227,22514,125286,0,9294,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,9291,9291,0
520209,X.X.X.X,3219076,774478,20251,103727,0,9563,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,9561,9561,0
530212,X.X.X.X,3314546,795474,20996,95470,0,9855,23,0,0,0,0,0,23,0.000000,0,23,23,23,23,9852,9852,0
540219,X.X.X.X,3402236,815469,19995,87690,0,10126,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,10124,10124,0
550223,X.X.X.X,3506727,834555,19086,104491,0,10377,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,10375,10375,0
560227,X.X.X.X,3594443,854732,20177,87716,0,10646,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,10644,10644,0
570230,X.X.X.X,3705745,874740,20008,111302,0,10895,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,10891,10891,0
580232,X.X.X.X,3797498,893648,18908,91753,0,11148,24,0,0,0,0,0,24,0.000000,1,24,24,24,24,11146,11146,0
590239,X.X.X.X,3924065,914088,20440,126567,0,11404,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11312,11312,0
600244,X.X.X.X,4053974,954190,40102,129909,0,11591,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11312,11312,0
610246,X.X.X.X,4053974,1003534,49344,0,0,11687,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11312,11312,0
620248,X.X.X.X,4053974,1052878,49344,0,0,11783,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11312,11312,0
630249,X.X.X.X,4053974,1102222,49344,0,0,11879,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11312,11312,0
640250,X.X.X.X,4053974,1151052,48830,0,0,11974,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11312,11312,0
650253,X.X.X.X,4053974,1200396,49344,0,0,12070,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11312,11312,0
660257,X.X.X.X,4191747,1249919,49523,137773,0,12195,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,11363,11363,1
670258,X.X.X.X,4270443,1266891,16972,78696,0,12404,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,11571,11571,0
680263,X.X.X.X,4349125,1284982,18091,78682,0,12647,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,11814,11814,0
690265,X.X.X.X,4433987,1302267,17285,84862,0,12864,23,0,0,0,0,0,23,0.000000,0,23,23,23,23,12032,12032,0
700269,X.X.X.X,4504664,1318445,16178,70677,0,13072,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,12239,12239,0
710270,X.X.X.X,4625654,1337856,19411,120990,0,13319,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,12486,12486,0
720274,X.X.X.X,4737227,1359328,21472,111573,0,13594,23,0,0,0,0,0,23,0.000000,0,23,23,23,23,12760,12760,0
730279,X.X.X.X,4839606,1378196,18868,102379,0,13846,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,13014,13014,0
740285,X.X.X.X,4935661,1427322,49126,96055,0,14200,23,0,0,0,0,0,23,0.000000,0,23,23,23,23,13368,13368,0
750292,X.X.X.X,5097708,1450184,22862,162047,0,14478,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,13645,13645,0
760293,X.X.X.X,5205870,1470120,19936,108162,0,14730,24,0,0,0,0,0,24,0.000000,1,24,24,24,24,13898,13898,0
770293,X.X.X.X,5339722,1492674,22554,133852,0,15011,24,0,0,0,0,0,24,0.000000,2,24,24,24,24,14179,14179,0
780295,X.X.X.X,5413696,1509357,16683,73974,0,15235,23,0,0,0,0,0,23,0.000000,1,23,23,23,23,14403,14403,0
790295,X.X.X.X,5462339,1522405,13048,48643,0,15392,22,0,0,0,0,0,22,0.000000,0,22,22,22,22,14560,14560,0
